comment,positive,neutral,negative,compound
434 like a Tenacious D song intro,0.385,0.615,0.0,0.3612
Bob really needs to figure out his yardages Hitting a ball 20yards past the flag is something you simply dont do with a handicap below 30 Great series no doubt he will get there one day,0.103,0.779,0.118,0.1027
Whens the Josh Allen video,0.0,1.0,0.0,0.0
The dude on the back of Pops cart should enter a Steve Carell look a like competition,0.152,0.848,0.0,0.3612
Bryson can get on a par 5 in one just by looking at it,0.0,1.0,0.0,0.0
Vid turned into can bob break 100,0.0,1.0,0.0,0.0
Pure comedy,0.714,0.286,0.0,0.3612
Why tf are Pop and Yamin so annoying this video,0.0,0.721,0.279,-0.541
Bob I just missed you brother Im Playing at this course tomorrow I love your video man,0.297,0.594,0.109,0.5859
felt like grant could take a chunk out of me through that facetime call,0.312,0.688,0.0,0.6124
How did you guys get Steve Carell to ride on a golf cart behind Joey and be a camera man,0.0,1.0,0.0,0.0
For the love of god someone tell him to open the stance in a bunker that club face is closeddddd,0.27,0.73,0.0,0.743
I felt bad for Bobthe whole time,0.0,0.588,0.412,-0.5423
Bobby when are the Breezy Golf gods gonna release a womens line Me and my girls are in the course with peach Have a Day in the cooler shooting Callaway BDS balls just need Breezy shirts for the trifecta,0.0,1.0,0.0,0.0
We need another hotdog challenge video 9 dogs each 27 total 9 holes,0.115,0.885,0.0,0.0772
Dude who is the smoke show shadowing Joey D there in the back,0.0,1.0,0.0,0.0
I would absolutely love to play a round with all the guys from BDS it would be an absolute blast,0.309,0.691,0.0,0.7996
I really home that FP got that cake,0.0,1.0,0.0,0.0
Bob is the best Ive ever seen at putting 1015 yards off the green and getting it close to the hole Well done Bob,0.223,0.777,0.0,0.743
Tiger Woods would have a difficult time playing with the circus following around the course,0.11,0.736,0.153,-0.1779
I think Bobby has a better chance at breaking 80 if hes under the influence of alcohol Not toasted but right in the most relaxed state,0.281,0.719,0.0,0.8014
New music Bobs golf game,0.0,1.0,0.0,0.0
3850 lmao they are all humming lmao,0.609,0.391,0.0,0.8316
Tic and Jet made this video,0.0,1.0,0.0,0.0
Love ya Bob But here is a news flash for ya A very small percentage of players ever end up breaking 80 in their lives According to the USGA the average male handicap is 142 while only 133 is a 0 to 49 handicap range and 244 is between 599 Based on those statistics roughly four percent of golfers will ever break 80May 28 2024 In order to do so here is a list of where you have to improve every part of your game,0.076,0.924,0.0,0.7543
Im watching regardless but a guy who doesnt mind double bogies trying to break 80 is WILD,0.0,1.0,0.0,0.0
Rewatching this episode with the assumption that Joey D had taken an edible,0.0,1.0,0.0,0.0
Can Bob even break 90,0.0,1.0,0.0,0.0
3539,0.0,1.0,0.0,0.0
You guys include wayyyyy too much conversation between shots No offense but youre not that funny Focus more on the golf and not the nonstop chitchat between the group Its like 10 golf and 90 trying to be funny,0.07,0.73,0.2,-0.6209
The Clinton foundation actually funded the grind FP,0.0,1.0,0.0,0.0
good job bob,0.592,0.408,0.0,0.4404
Bob should play with some of us for videos challenge people that try to break 100 also,0.198,0.802,0.0,0.4019
With love gotta get back to grant for a lesson,0.489,0.511,0.0,0.7717
Bring back the old intro music,0.0,1.0,0.0,0.0
Editing masterpiece at 3540,0.577,0.423,0.0,0.6249
Gotta club up Bob,0.0,1.0,0.0,0.0
Nicolai Stubbe lol,0.583,0.417,0.0,0.4215
